"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Jan-2024","EQ","96.48","99.99","96.48","96.48","96.56","98.17","97.22","99.99","70.96","2,558","2,48,701.29","53"
"02-Jan-2024","EQ","97.47","97.47","95.99","97.47","96.47","96.48","96.39","98.40","70.96","2,819","2,71,733.16","74"
"01-Jan-2024","EQ","97.68","98.40","96.79","96.78","97.75","97.47","97.27","98.40","70.96","2,708","2,63,408.53","75"
"29-Dec-2023","EQ","97.00","97.39","96.40","96.70","96.40","96.78","97.00","97.39","70.96","2,459","2,38,515.90","54"
"28-Dec-2023","EQ","96.00","96.80","96.00","95.87","96.80","96.70","96.52","96.80","70.96","8,552","8,25,409.84","70"
"27-Dec-2023","EQ","96.00","96.00","95.20","95.70","95.94","95.87","95.55","96.00","70.96","7,287","6,96,247.65","53"
"26-Dec-2023","EQ","94.51","95.70","94.51","94.21","95.70","95.70","95.03","95.70","70.96","1,053","1,00,062.43","26"
"22-Dec-2023","EQ","93.50","94.26","93.32","93.56","94.21","94.21","93.56","95.30","70.96","5,761","5,39,015.64","35"
"21-Dec-2023","EQ","92.49","93.56","92.46","93.16","93.56","93.56","92.90","95.30","70.96","876","81,378.98","34"
"20-Dec-2023","EQ","92.95","95.30","92.95","94.60","93.17","93.16","94.70","95.30","70.96","2,658","2,51,708.11","56"
"19-Dec-2023","EQ","94.20","94.65","93.87","94.18","94.41","94.60","94.25","95.00","70.96","660","62,202.26","30"
"18-Dec-2023","EQ","94.35","94.51","94.00","94.35","94.02","94.18","94.31","95.00","70.96","4,685","4,41,838.90","75"
"15-Dec-2023","EQ","94.73","95.00","93.52","94.07","94.96","94.35","94.06","95.00","70.96","1,495","1,40,617.78","47"
"14-Dec-2023","EQ","93.60","94.31","93.60","93.53","94.05","94.07","94.01","94.31","70.96","1,177","1,10,651.26","32"
"13-Dec-2023","EQ","93.17","93.60","92.60","92.67","93.60","93.53","93.00","94.20","70.96","269","25,017.59","29"
"12-Dec-2023","EQ","93.47","93.50","92.52","93.42","93.15","92.67","93.10","94.20","70.96","732","68,147.63","27"
"11-Dec-2023","EQ","92.97","93.50","92.97","92.97","93.49","93.42","93.37","94.20","70.96","622","58,073.66","28"
"08-Dec-2023","EQ","93.80","93.89","92.63","93.83","93.20","92.97","93.01","94.20","70.96","3,160","2,93,925.04","48"
"07-Dec-2023","EQ","93.97","93.97","93.50","93.97","93.50","93.83","93.71","94.20","70.96","782","73,280.41","32"
"06-Dec-2023","EQ","93.65","94.20","93.38","93.24","93.51","93.97","93.94","94.20","70.96","901","84,637.05","45"
"05-Dec-2023","EQ","93.39","93.61","93.11","93.14","93.24","93.24","93.38","93.90","70.96","1,163","1,08,595.28","28"
"04-Dec-2023","EQ","93.18","93.90","89.50","92.07","93.19","93.14","92.77","93.90","70.96","7,203","6,68,207.48","159"
"01-Dec-2023","EQ","91.40","92.21","91.40","91.32","91.72","92.07","91.88","92.21","70.96","324","29,770.12","35"
"30-Nov-2023","EQ","90.29","91.32","90.29","90.51","91.32","91.32","91.00","91.32","70.96","912","82,992.82","31"
"29-Nov-2023","EQ","89.68","90.65","87.30","89.68","90.28","90.51","90.09","90.65","70.96","2,736","2,46,475.07","62"
"28-Nov-2023","EQ","89.50","90.00","89.36","89.31","90.00","89.68","89.68","90.00","70.96","1,262","1,13,174.36","24"
"24-Nov-2023","EQ","89.40","89.68","89.11","89.00","89.41","89.31","89.53","89.80","70.96","244","21,845.98","18"
